model,method,n,seed,acc,ece,brier
gemma,GPP-laplace,2400,2,0.6618705035971223,0.02921555542749834,0.44663091337464317
gemma,LPE,2400,2,0.6670092497430626,0.06326844433718816,0.46942158388739486
gemma,LP-temp,2400,2,0.656731757451182,0.03807717180200696,0.4644092526923948
gemma,GPP-cosine,100,3,0.5282631038026722,0.3069826240162198,0.7433723035523064
gemma,GPP-rbf,100,3,0.5704008221993834,0.05116355005663199,0.5461110335687648
gemma,GPP-laplace,100,3,0.6073997944501541,0.15728986247960489,0.5624534502393064
gemma,LPE,100,3,0.5560123329907503,0.1261880966276696,0.5606770634980351
gemma,LP-temp,100,3,0.5549845837615622,0.024543569718269306,0.5718094495445006
gemma,GPP-cosine,500,3,0.5878725590955807,0.25256917235907644,0.6366445333984909
gemma,GPP-rbf,500,3,0.605344295991778,0.06284237352084035,0.5051026273677275
gemma,GPP-laplace,500,3,0.6176772867420349,0.049639864454288994,0.5060311841617429
gemma,LPE,500,3,0.6176772867420349,0.11849620074554436,0.5317211807288156
gemma,LP-temp,500,3,0.6073997944501541,0.04780180107767947,0.5111226455253024
gemma,GPP-cosine,1500,3,0.6217882836587872,0.1768752053487215,0.53154587485308
gemma,GPP-rbf,1500,3,0.6330935251798561,0.03363190243692585,0.4817586326065405
gemma,GPP-laplace,1500,3,0.6402877697841727,0.03401706648755049,0.47096080118481765
gemma,LPE,1500,3,0.6495375128468653,0.06868492031636489,0.47705825619583603
gemma,LP-temp,1500,3,0.6402877697841727,0.03558211562723578,0.4720077893614817
gemma,GPP-cosine,2400,3,0.644398766700925,0.13248641919134088,0.5020731680749247
gemma,GPP-rbf,2400,3,0.65775950668037,0.04599576465640016,0.46384863875531124
gemma,GPP-laplace,2400,3,0.6515930113052415,0.026473820056356595,0.4534891557837002
gemma,LPE,2400,3,0.6628982528263104,0.06230831470910959,0.46295556010023203
gemma,LP-temp,2400,3,0.65775950668037,0.041840720781945215,0.46161464086191367
gemma,GPP-cosine,100,4,0.5621788283658787,0.2845721309133571,0.7051324589734996
gemma,GPP-rbf,100,4,0.5416238437821171,0.09883634827242357,0.5953816876770287
gemma,GPP-laplace,100,4,0.5837615621788284,0.12559040409933012,0.5669240835027203
gemma,LPE,100,4,0.513874614594039,0.17604371574530253,0.6463724733376325
gemma,LP-temp,100,4,0.4614594039054471,0.07148755597072069,0.6486473256076475
gemma,GPP-cosine,500,4,0.5878725590955807,0.2575768689028651,0.6386273076983917
gemma,GPP-rbf,500,4,0.6063720452209661,0.055383491307833946,0.5144955592832728
gemma,GPP-laplace,500,4,0.6115107913669064,0.05949159773623712,0.5113858754102555
gemma,LPE,500,4,0.591983556012333,0.14027057718275016,0.570850389105463
gemma,LP-temp,500,4,0.5858170606372045,0.0498107824775544,0.5287519262633505
gemma,GPP-cosine,1500,4,0.6474820143884892,0.14634607007912717,0.5186149812097895
gemma,GPP-rbf,1500,4,0.6361767728674204,0.04046175566876169,0.48136136290415
gemma,GPP-laplace,1500,4,0.65775950668037,0.03034513076922385,0.4703637086544865
gemma,LPE,1500,4,0.6464542651593012,0.0719572744903682,0.4856007154828561
gemma,LP-temp,1500,4,0.6474820143884892,0.06488469928872709,0.47939617669139223
gemma,GPP-cosine,2400,4,0.6433710174717369,0.12518715509285294,0.4913518023095839
gemma,GPP-rbf,2400,4,0.6557040082219938,0.03420963466841295,0.4602604252839099
gemma,GPP-laplace,2400,4,0.6783144912641316,0.03266010579690415,0.44541511927311933
gemma,LPE,2400,4,0.6598150051387461,0.05726674082712916,0.4696456902751198
gemma,LP-temp,2400,4,0.6598150051387461,0.033634816459159486,0.4671241143461804
qwen,GPP-cosine,100,0,0.539568345323741,0.2774065045634129,0.7164134300204686
qwen,GPP-rbf,100,0,0.5118191161356629,0.07986237995426064,0.5963247593023879
qwen,GPP-laplace,100,0,0.5190133607399794,0.08957547329190087,0.6017610630217033
qwen,LPE,100,0,0.5159301130524152,0.14424374754725358,0.6367927081038869
qwen,LP-temp,100,0,0.49126413155190135,0.03069594505377431,0.6083028224565548
qwen,GPP-cosine,500,0,0.6187050359712231,0.12143690251617982,0.5249026674187197
qwen,GPP-rbf,500,0,0.6176772867420349,0.1204957622357042,0.5300897652482153
qwen,GPP-laplace,500,0,0.6012332990750257,0.08347602741446304,0.5279148191836367
qwen,LPE,500,0,0.6022610483042138,0.10199549181610805,0.5303375702240185
qwen,LP-temp,500,0,0.6002055498458376,0.05326598427146236,0.5150807710779008
qwen,GPP-cosine,1500,0,0.6166495375128469,0.04671901746251969,0.4903128677306866
qwen,GPP-rbf,1500,0,0.6464542651593012,0.08276504397637305,0.495164087486365
qwen,GPP-laplace,1500,0,0.6217882836587872,0.041233185506430584,0.49066954566102583
qwen,LPE,1500,0,0.6330935251798561,0.040553526483851354,0.48724996504225787
qwen,LP-temp,1500,0,0.6330935251798561,0.04713819559507931,0.4856084281012637
qwen,GPP-cosine,2400,0,0.6372045220966084,0.02367101666371109,0.48968690188510855
qwen,GPP-rbf,2400,0,0.6474820143884892,0.060396831762141334,0.47537430538995207
qwen,GPP-laplace,2400,0,0.656731757451182,0.06331463230109532,0.4690503624454535
qwen,LPE,2400,0,0.6392600205549845,0.030166049992315327,0.4807387171740953
qwen,LP-temp,2400,0,0.6402877697841727,0.04340036410124687,0.4829207881665408
qwen,GPP-cosine,100,1,0.5436793422404933,0.2664609309458169,0.6958098699702363
qwen,GPP-rbf,100,1,0.5549845837615622,0.04036230194972943,0.5639534781517753
qwen,GPP-laplace,100,1,0.566289825282631,0.13826176263813125,0.5858334114503093
qwen,LPE,100,1,0.5066803699897225,0.14011873300249506,0.6216007846948974
qwen,LP-temp,100,1,0.5087358684480987,0.05378670517149389,0.6130834722265235
qwen,GPP-cosine,500,1,0.5960945529290853,0.130558849606215,0.5552413285471423
qwen,GPP-rbf,500,1,0.6022610483042138,0.0966269241881395,0.5248624963722336
qwen,GPP-laplace,500,1,0.593011305241521,0.06408173685083655,0.5293012549746878
qwen,LPE,500,1,0.5837615621788284,0.14969879572585088,0.5828989165572345
qwen,LP-temp,500,1,0.5817060637204522,0.05336631410060309,0.545942117839296
qwen,GPP-cosine,1500,1,0.6125385405960946,0.048186781717596404,0.504176565493344
qwen,GPP-rbf,1500,1,0.6341212744090442,0.07125152489754304,0.49616483755200463
qwen,GPP-laplace,1500,1,0.6300102774922919,0.03691649234797212,0.4913643050664888
qwen,LPE,1500,1,0.6289825282631039,0.041267115618930185,0.5017508019230489
qwen,LP-temp,1500,1,0.6279547790339157,0.030958428487336622,0.4954643777967788
qwen,GPP-cosine,2400,1,0.6289825282631039,0.04171327246546377,0.4981918797619836
qwen,GPP-rbf,2400,1,0.6495375128468653,0.06335119249151763,0.47382227399322613
qwen,GPP-laplace,2400,1,0.6536485097636177,0.04952759855452691,0.47066250579362234
qwen,LPE,2400,1,0.6238437821171634,0.04499698110989161,0.4929252915943513
qwen,LP-temp,2400,1,0.6217882836587872,0.04170807112124631,0.4923848819241668
qwen,GPP-cosine,100,2,0.4460431654676259,0.30436176998887254,0.7958502916884748
qwen,GPP-rbf,100,2,0.49126413155190135,0.07810828536902031,0.6218093010098193
qwen,GPP-laplace,100,2,0.47173689619732784,0.06257111566162307,0.62647931879469
qwen,LPE,100,2,0.4850976361767729,0.15191910255849667,0.6574525311827156
qwen,LP-temp,100,2,0.49229188078108943,0.06007852567668001,0.6144914853281839
qwen,GPP-cosine,500,2,0.5889003083247688,0.13631896670038632,0.5626118381426773
qwen,GPP-rbf,500,2,0.5683453237410072,0.06493294689295102,0.5472544033920573
qwen,GPP-laplace,500,2,0.593011305241521,0.07299978456786332,0.531273442847545
qwen,LPE,500,2,0.5601233299075026,0.14566500602866247,0.5905647370205765
qwen,LP-temp,500,2,0.5590955806783144,0.03348128770650792,0.5513263184422411
qwen,GPP-cosine,1500,2,0.6166495375128469,0.04751012841084509,0.5095404074117862
qwen,GPP-rbf,1500,2,0.6248715313463515,0.05612132774105052,0.49576879767496385
qwen,GPP-laplace,1500,2,0.6310380267214799,0.04068040443471376,0.4886002256883778
qwen,LPE,1500,2,0.6125385405960946,0.06172101351242026,0.5064365371250363
qwen,LP-temp,1500,2,0.6125385405960946,0.03789772129835234,0.5019335076542627
qwen,GPP-cosine,2400,2,0.6228160328879754,0.034345039973401104,0.4987510530034697
qwen,GPP-rbf,2400,2,0.6495375128468653,0.04935651934894238,0.47050353082350577
qwen,GPP-laplace,2400,2,0.6659815005138746,0.044675918944938095,0.46216337370511756
qwen,LPE,2400,2,0.6279547790339157,0.047683752024161495,0.48630400304175864
qwen,LP-temp,2400,2,0.6238437821171634,0.037371630953309025,0.4840609193810142
qwen,GPP-cosine,100,3,0.5334018499486125,0.2767913947370045,0.7190548507590949
qwen,GPP-rbf,100,3,0.5549845837615622,0.037099292748756056,0.5524125729760313
qwen,GPP-laplace,100,3,0.579650565262076,0.15466081694855843,0.5862437083007476
qwen,LPE,100,3,0.5488180883864338,0.10223144439852129,0.5746913547546987
qwen,LP-temp,100,3,0.5200411099691675,0.0383814611926341,0.591283801792435
qwen,GPP-cosine,500,3,0.5806783144912642,0.15918165463705347,0.5783379591829988
qwen,GPP-rbf,500,3,0.593011305241521,0.09026722629905849,0.5410566377051856
qwen,GPP-laplace,500,3,0.5817060637204522,0.060850680088825354,0.5365037049203417
qwen,LPE,500,3,0.5765673175745119,0.14294380733680137,0.5648499251119983
qwen,LP-temp,500,3,0.5775950668036999,0.02528635693441092,0.535359152247176
qwen,GPP-cosine,1500,3,0.6269270298047277,0.06184061390767977,0.5104440276915857
qwen,GPP-rbf,1500,3,0.632065775950668,0.060216017794878604,0.49248278282972424
qwen,GPP-laplace,1500,3,0.6474820143884892,0.062413528331872234,0.48328763834449534
qwen,LPE,1500,3,0.6382322713257965,0.059106320908478824,0.49768743350987577
qwen,LP-temp,1500,3,0.6433710174717369,0.03435448420490365,0.4908439950537984
qwen,GPP-cosine,2400,3,0.6166495375128469,0.03760283989381938,0.4999058746098644
qwen,GPP-rbf,2400,3,0.6557040082219938,0.06115242468244859,0.4673076735200603
qwen,GPP-laplace,2400,3,0.6731757451181911,0.057800590716310045,0.46314210984845633
qwen,LPE,2400,3,0.632065775950668,0.041621367157056915,0.4824664427664876
qwen,LP-temp,2400,3,0.6330935251798561,0.030921455400315007,0.4805064327739938
qwen,GPP-cosine,100,4,0.5323741007194245,0.24576561215725123,0.6917954062340231
qwen,GPP-rbf,100,4,0.5159301130524152,0.06801875635506804,0.5985534257715194
qwen,GPP-laplace,100,4,0.5580678314491264,0.12256009893574184,0.5911581955898082
qwen,LPE,100,4,0.5159301130524152,0.1368246467177204,0.6203606707708279
qwen,LP-temp,100,4,0.5015416238437821,0.018485478824813058,0.6089134523336229
qwen,GPP-cosine,500,4,0.5714285714285714,0.1497186458490613,0.5797865613040342
qwen,GPP-rbf,500,4,0.578622816032888,0.0681730733929778,0.5453679104070073
qwen,GPP-laplace,500,4,0.5745118191161357,0.05758875847352863,0.5485159200321329
qwen,LPE,500,4,0.5745118191161357,0.1377337923520393,0.5814514484959071
qwen,LP-temp,500,4,0.5755395683453237,0.03783243060822564,0.5508347312940387
qwen,GPP-cosine,1500,4,0.6238437821171634,0.045172631250501055,0.5008918094840723
qwen,GPP-rbf,1500,4,0.6135662898252826,0.051563363495490525,0.505664798760781
qwen,GPP-laplace,1500,4,0.6279547790339157,0.0672555054324504,0.49790143666249786
qwen,LPE,1500,4,0.6104830421377184,0.06789028718072122,0.502855945891103
qwen,LP-temp,1500,4,0.6125385405960946,0.04775911768484411,0.5006410249813011
qwen,GPP-cosine,2400,4,0.6197327852004111,0.032547162621753924,0.49988100109707373
qwen,GPP-rbf,2400,4,0.644398766700925,0.06053710473894703,0.4699649419502249
qwen,GPP-laplace,2400,4,0.6557040082219938,0.04123531479507163,0.46374351556250226
qwen,LPE,2400,4,0.6289825282631039,0.03903958648596369,0.49142066168957355
qwen,LP-temp,2400,4,0.6248715313463515,0.03400394401642011,0.4899131171061471
gemma4,GPP-cosine,100,0,0.41007194244604317,0.39467032141945224,0.9274094185641928
gemma4,GPP-rbf,100,0,0.4306269270298047,0.037005751467437197,0.6340465390125649
gemma4,GPP-laplace,100,0,0.4131551901336074,0.055527843772323615,0.6381604178563646
gemma4,LPE,100,0,0.3895169578622816,0.24992124890987086,0.7905621294391254
gemma4,LP-temp,100,0,0.3648509763617677,0.07115147616378584,0.6864309745455919
gemma4,GPP-cosine,500,0,0.4748201438848921,0.32042969954712175,0.798190208578292
gemma4,GPP-rbf,500,0,0.44295991778006166,0.08599424545958503,0.63922824021643
gemma4,GPP-laplace,500,0,0.4522096608427544,0.0781048344254861,0.6244163029563938
gemma4,LPE,500,0,0.4748201438848921,0.13109572686614873,0.6505863709364079
gemma4,LP-temp,500,0,0.4748201438848921,0.06672577871947367,0.6285011502312111
gemma4,GPP-cosine,1500,0,0.48612538540596095,0.25871604181757196,0.707250605387629
gemma4,GPP-rbf,1500,0,0.49537512846865367,0.09486975438915816,0.6138021529755143
gemma4,GPP-laplace,1500,0,0.512846865364851,0.05199437981274243,0.586469216446602
gemma4,LPE,1500,0,0.5025693730729702,0.07551526168757573,0.5963510385608021
gemma4,LP-temp,1500,0,0.5107913669064749,0.03405608803355056,0.5927639718717334
gemma4,GPP-cosine,2400,0,0.5035971223021583,0.2021705612371784,0.6589418879076586
gemma4,GPP-rbf,2400,0,0.5107913669064749,0.06952874327245011,0.5941618474219105
gemma4,GPP-laplace,2400,0,0.5652620760534429,0.0793368413293962,0.5606287085063796
gemma4,LPE,2400,0,0.513874614594039,0.05216743923409748,0.5893526970392586
gemma4,LP-temp,2400,0,0.5200411099691675,0.055363186094779485,0.5878842583939777
gemma4,GPP-cosine,100,1,0.4984583761562179,0.30996380404847745,0.7864682317705814
gemma4,GPP-rbf,100,1,0.4316546762589928,0.03671546392181058,0.648630939947043
gemma4,GPP-laplace,100,1,0.45837615621788286,0.03056111873605146,0.6397533554339905
gemma4,LPE,100,1,0.4552929085303186,0.1836026358702445,0.7089109966453446
gemma4,LP-temp,100,1,0.4234326824254882,0.05681285633194055,0.6520840188365726
gemma4,GPP-cosine,500,1,0.44809866392600206,0.3470219118254525,0.8549676186495105
gemma4,GPP-rbf,500,1,0.4727646454265159,0.0675419058731134,0.6300053227089928
gemma4,GPP-laplace,500,1,0.4830421377183967,0.03426823163939159,0.6184030499989323
gemma4,LPE,500,1,0.4892086330935252,0.14322758820539633,0.6799455825362419
gemma4,LP-temp,500,1,0.4799588900308325,0.047854004278972295,0.6361548079567874
gemma4,GPP-cosine,1500,1,0.4614594039054471,0.2762656435753312,0.7341332798923644
gemma4,GPP-rbf,1500,1,0.49743062692702983,0.07699039507990382,0.6121584311595927
gemma4,GPP-laplace,1500,1,0.513874614594039,0.05137570635755406,0.5891128614329725
gemma4,LPE,1500,1,0.4933196300102775,0.08477201788300479,0.613515405198807
gemma4,LP-temp,1500,1,0.4943473792394656,0.051153631386070215,0.6037694548621826
gemma4,GPP-cosine,2400,1,0.49743062692702983,0.21468575150233993,0.6935550300808326
gemma4,GPP-rbf,2400,1,0.513874614594039,0.06794907561554081,0.5951228273932779
gemma4,GPP-laplace,2400,1,0.5714285714285714,0.08218523887544106,0.5521262079097021
gemma4,LPE,2400,1,0.5149023638232272,0.04730733264264443,0.6072032932399059
gemma4,LP-temp,2400,1,0.5097636176772867,0.0491811591777989,0.6018872629783178
gemma4,GPP-cosine,100,2,0.35149023638232274,0.42484668828355565,0.9906911374675507
gemma4,GPP-rbf,100,2,0.3278520041109969,0.13758286444770837,0.712182905805559
gemma4,GPP-laplace,100,2,0.3319630010277492,0.11283765097683776,0.6911230393689561
gemma4,LPE,100,2,0.3761562178828366,0.2618367606113528,0.7876176893042228
gemma4,LP-temp,100,2,0.39054470709146966,0.015559975149028134,0.6583752343184724
gemma4,GPP-cosine,500,2,0.4357656731757451,0.36525212239018445,0.8437087557437708
gemma4,GPP-rbf,500,2,0.4563206577595067,0.09508967586435983,0.6597317860927945
gemma4,GPP-laplace,500,2,0.4748201438848921,0.05472575034659054,0.6380778628556736
gemma4,LPE,500,2,0.4614594039054471,0.17586454375429733,0.68518083355155
gemma4,LP-temp,500,2,0.4676258992805755,0.04299480676452208,0.6314722922212251
gemma4,GPP-cosine,1500,2,0.5015416238437821,0.24124422641844323,0.6923591863790652
gemma4,GPP-rbf,1500,2,0.5231243576567317,0.061701870589437616,0.598571617428819
gemma4,GPP-laplace,1500,2,0.5426515930113053,0.04006181720104395,0.5792200605447234
gemma4,LPE,1500,2,0.5107913669064749,0.07282344076518288,0.6039362356267562
gemma4,LP-temp,1500,2,0.5035971223021583,0.059150289622842786,0.5979630476667182
gemma4,GPP-cosine,2400,2,0.5025693730729702,0.2085482562066105,0.65967972767052
gemma4,GPP-rbf,2400,2,0.538540596094553,0.06498969419029488,0.5853281818073389
gemma4,GPP-laplace,2400,2,0.5806783144912642,0.08496425379707045,0.5531826320586533
gemma4,LPE,2400,2,0.5149023638232272,0.05559568261806178,0.5857408846345347
gemma4,LP-temp,2400,2,0.513874614594039,0.05686728108625514,0.5856672334897387
gemma4,GPP-cosine,100,3,0.4224049331963001,0.3939785475231026,0.8952618805825947
gemma4,GPP-rbf,100,3,0.4624871531346352,0.05077392619413317,0.6424177922694001
gemma4,GPP-laplace,100,3,0.4624871531346352,0.04019377725955028,0.6369855731625852
gemma4,LPE,100,3,0.4306269270298047,0.20856331676275366,0.7460006521707708
gemma4,LP-temp,100,3,0.4244604316546763,0.08082214498396528,0.6638490895671105
gemma4,GPP-cosine,500,3,0.44295991778006166,0.36211331885495635,0.8466728979518781
