dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAlea_bern_var,corrMI_bern_var,corrAleaS_entropy,corrMIS_entropy,mono_alea
lewidi_md,gemma,0,GPP-cosine,0,16,0.9871745656509517,0.19230278733542097,0.3441512012540198,0.30093433863244096,0.5989532221131828,0.5989532221131828,0.42823824286460876,0.05491353198885918,-0.08434909268733912,0.07811111372067464,-0.08434909268733912,0.07811111372067463,-0.08354591255800425,0.07518036815354992,-0.08468272921560623,0.07775449691025914,-0.08354591255800424,0.07518036815354993,-0.08468272863607379,0.07775449700230705,-0.09711195036233013,0.05875589736650617,-1.0
lewidi_md,gemma,0,GPP-rbf,0,16,0.6999299269136137,0.1522017763066833,0.31651665318707334,0.3299053560644176,0.619234543670265,0.619234543670265,0.5746411085128784,0.07102879136800766,-0.11376108121707132,0.09234625186990199,-0.11376108121707132,0.092346251869902,-0.1091250211135725,0.09064721043226483,-0.11312979247619565,0.0924620499738279,-0.10912502111357252,0.09064721043226484,-0.11312979218336905,0.0924620501702686,-0.10090412368054417,0.106957373212363,-1.0
lewidi_md,gemma,0,GPP-laplace,0,16,0.6966851808981169,0.15068874675424745,0.316683969662717,0.33290712249991056,0.5695125940464507,0.5695125940464507,0.5395745635032654,0.11192751675844193,-0.12388727531624069,0.11968414480881451,-0.12388727531624068,0.11968414480881451,-0.11993979350922752,0.11755916708008345,-0.12353494672986595,0.11985767051371371,-0.11993979350922752,0.11755916708008346,-0.12353494630744709,0.11985767061293423,-0.10366185838425941,0.10844090286133766,-1.0
lewidi_md,gemma,0,LPE,0,16,0.7839917012004831,0.16459768058555826,0.3235352725898899,0.3019316438951,0.6225057245665685,0.6225057245665685,0.41391685605049133,0.10431914776563644,-0.0761495474756489,0.018627599908887252,-0.07614954747564891,0.01862759990888727,-0.069905702920528,0.02824282530094717,-0.07477118053672979,0.021681554401891286,-0.069905702920528,0.028242825300947162,-0.07477118015699502,0.021681554635695714,-0.07851397711316778,0.003556243290927333,-1.0
lewidi_md,gemma,0,LP-temp,0,16,0.8632327569782315,0.18204209100525626,0.343883223738438,0.3230025250894039,0.6097481190709846,0.6097481190709846,0.514961547557235,,-0.08785099736676986,,-0.08785099736676988,,-0.08397950109062163,,-0.0872748240595334,,-0.08397950109062166,,-0.08727482373679744,,-0.08967496977268757,,-1.0
lewidi_md,gemma,0,GPP-cosine,0,64,1.584883646027329,0.2356481968311889,0.39420486491895235,0.3650842692125163,0.3974484789008832,0.3974484789008832,0.44793567061424255,0.017614081501960754,-0.10965577719985009,0.052573303734641974,-0.1096557771998501,0.052573303734641974,-0.10742764857543846,0.052612775490365624,-0.10972918185494378,0.05294562109925801,-0.10742764857543848,0.052612775490365624,-0.10972918139812031,0.0529456210763837,-0.11296831689907862,0.027100970588180444,-1.0
lewidi_md,gemma,0,GPP-rbf,0,64,0.6954940125824964,0.14823860364175692,0.3095849350211782,0.32685502282784723,0.6323192672554793,0.6323192672554793,0.5825671553611755,0.04696859419345856,-0.09715599019796427,0.09367843129723624,-0.09715599019796427,0.09367843129723624,-0.094215296599544,0.0950620409207886,-0.09692686748427654,0.0947415317067471,-0.094215296599544,0.0950620409207886,-0.09692686704415497,0.09474153201899908,-0.097760739823764,0.11637861385717936,-1.0
lewidi_md,gemma,0,GPP-laplace,0,64,0.740768444313769,0.1548099061383769,0.3150401766408,0.34140968729282134,0.6362446843310435,0.6362446843310435,0.5313686728477478,0.08011796325445175,-0.09712860364532092,0.11340413493264935,-0.09712860364532092,0.11340413493264934,-0.09191510151604373,0.11585901207250113,-0.09620758790456432,0.11492845196594526,-0.09191510151604375,0.11585901207250111,-0.09620758714750932,0.11492845217757905,-0.09486175080975284,0.11765390730647761,-1.0
lewidi_md,gemma,0,LPE,0,64,0.7810917146832497,0.16267136909715166,0.3222822242717743,0.3294771759280683,0.6378802747791953,0.6378802747791953,0.5086193084716797,0.04786638170480728,-0.09022881571639829,0.05303262975401139,-0.09022881571639829,0.05303262975401139,-0.08423869563614952,0.046428753895023926,-0.08902415765015417,0.05138626218013723,-0.08423869563614952,0.04642875389502392,-0.08902415704779693,0.051386262828777,-0.11062693860654997,0.10816227338890833,-1.0
lewidi_md,gemma,0,LP-temp,0,64,0.6922968848372557,0.1519674724918331,0.3210546780365514,0.3396598103367053,0.6319921491658489,0.6319921491658489,0.6638676860339637,,-0.06240609807884802,,-0.062406098078848,,-0.057527204212576136,,-0.06134895049612689,,-0.05752720421257614,,-0.061348950043793975,,-0.07078496180403009,,-1.0
lewidi_md,gemma,0,GPP-cosine,0,256,1.423926924881091,0.21120011371416691,0.35242572925345134,0.29654949819072896,0.6048413477265293,0.6048413477265293,0.3822478652000427,0.007117796689271927,-0.04448842740332092,0.06155378645671219,-0.044488427403320915,0.06155378645671218,-0.04612339948486356,0.056976999791681165,-0.045290909799435695,0.06058274080764152,-0.046123399484863575,0.056976999791681165,-0.04529091011992309,0.06058274052907034,-0.03360928267816364,0.08130754661325146,-1.0
lewidi_md,gemma,0,GPP-rbf,0,256,0.7372478922132492,0.15250863577450785,0.3119418341310017,0.31173651586874146,0.624795551193981,0.624795551193981,0.5470429062843323,0.02417607605457306,-0.03238073085556027,0.05877151538317842,-0.032380730855560286,0.058771515383178416,-0.03621858704872863,0.05698413781833918,-0.03377065924634799,0.058630329066486575,-0.03621858704872863,0.056984137818339185,-0.033770660007827184,0.05863032878096184,-0.0032961022938456804,0.11347398289547111,-1.0
lewidi_md,gemma,0,GPP-laplace,0,256,0.737408280533459,0.151139751060095,0.30913944171554547,0.3136364962714029,0.6303565587176971,0.6303565587176971,0.5158277750015259,0.05901779234409332,-0.06341518691869837,0.09610283113813087,-0.06341518691869837,0.09610283113813087,-0.0668189792351598,0.09500477052685176,-0.06488570329770604,0.09642727667184256,-0.0668189792351598,0.09500477052685177,-0.06488570388794512,0.09642727655920696,-0.04802459615336123,0.11271602362987006,-1.0
lewidi_md,gemma,0,LPE,0,256,0.8028195799842277,0.1600764701702204,0.3131673648407902,0.2877305877164101,0.6234870788354596,0.6234870788354596,0.4066598415374756,0.10657361149787903,-0.06990038542150051,0.11028968570008862,-0.06990038542150052,0.11028968570008861,-0.07045598923295503,0.10469217859491946,-0.0705485311246874,0.1093419999168945,-0.07045598923295507,0.10469217859491949,-0.07054853166260772,0.10934199968846911,-0.0796261864711441,0.12330143356308923,-1.0
lewidi_md,gemma,0,LP-temp,0,256,0.7043526607185064,0.15560423779047192,0.32478584485810513,0.3436300931017482,0.6107294733398757,0.6107294733398757,0.6666664639693758,,-0.021538336856368433,,-0.021538336856368447,,-0.023931810345505407,,-0.02241437559584452,,-0.023931810345505407,,-0.022414376194807392,,-0.01486239136997975,,-1.0
lewidi_md,gemma,0,GPP-cosine,0,1024,0.9542000677028214,0.16762509797622774,0.31719890793385813,0.2969559980824138,0.629375204448806,0.629375204448806,0.48443669080734253,0.0027145501226186752,-0.016725608086618857,0.0787070942394216,-0.016725608086618854,0.07870709423942161,-0.016211585609704884,0.08032852609453542,-0.016683797619872924,0.0797399691569824,-0.016211585609704888,0.08032852609453542,-0.016683797614584852,0.07973996983664673,0.028462689124027694,0.11239055645149995,-1.0
lewidi_md,gemma,0,GPP-rbf,0,1024,0.6758011596366915,0.13990229442380994,0.29915448212810286,0.3172029525167526,0.6444226365718024,0.6444226365718024,0.6100180745124817,0.005915774963796139,-0.002928680012887798,0.05738488023308898,-0.0029286800128878014,0.05738488023308897,-0.003543474571760125,0.06028321665945571,-0.003135857602824402,0.05866023848445849,-0.003543474571760132,0.06028321665945573,-0.0031358578962309945,0.05866023884768486,0.05994533255058072,0.11077354273515577,-1.0
lewidi_md,gemma,0,GPP-laplace,0,1024,0.7440619659074962,0.15135621022390852,0.30870901676315887,0.3196877434116102,0.6450768727510632,0.6450768727510632,0.5353569984436035,0.041347865015268326,-0.060202412849903145,0.08118141955501842,-0.060202412849903145,0.08118141955501842,-0.06032786107194351,0.08445180611292394,-0.06065318139010486,0.08273309394645453,-0.06032786107194352,0.08445180611292395,-0.06065318143345923,0.0827330944874258,-0.03406072475220789,0.11485893038675027,-1.0
lewidi_md,gemma,0,LPE,0,1024,0.711331371474292,0.14496931296719232,0.3002655171800187,0.29783634236508644,0.6388616290480864,0.6388616290480864,0.5043792724609375,0.05523882433772087,-0.03583994970904563,0.08173218723487088,-0.03583994970904563,0.08173218723487088,-0.03769918167947715,0.08171825012275263,-0.036651411981682105,0.08228808692858157,-0.03769918167947716,0.08171825012275263,-0.03665141263245279,0.08228808706942908,-0.013206926097106494,0.1211307173103825,-1.0
lewidi_md,gemma,0,LP-temp,0,1024,0.6729944430553737,0.1441750123150115,0.30684355525474527,0.33974007687936847,0.6382073928688257,0.6382073928688257,0.6667699548201398,,-0.004009949711901306,,-0.004009949711901297,,-0.007018728289844652,,-0.004953121468525629,,-0.007018728289844657,,-0.004953122068975229,,0.05332501256311405,,-0.5
lewidi_md,gemma,0,GPP-cosine,1,16,1.1306688088696626,0.21526744114854598,0.3797052204351486,0.3597918546065854,0.5976447497546614,0.5976447497546614,0.4709501266479492,0.03713887557387352,-0.12670986567443213,0.04456856565735119,-0.1267098656744321,0.04456856565735119,-0.12100404037185027,0.04862814864880434,-0.12584174803534703,0.04610950206283525,-0.12100404037185028,0.04862814864880433,-0.1258417473754153,0.04610950280322679,-0.11534851540188273,0.025255888487563088,-1.0
lewidi_md,gemma,0,GPP-rbf,1,16,0.6968394349476644,0.14207281618625292,0.29520461985419144,0.2930077949012888,0.6597971867844292,0.6597971867844292,0.49018916487693787,0.069614477455616,-0.1315166363909356,0.0770404801221721,-0.1315166363909356,0.07704048012217211,-0.1246788938557157,0.07999072706033715,-0.13033697426562027,0.07846634398270097,-0.12467889385571572,0.07999072706033715,-0.13033697373575326,0.07846634468763766,-0.11756363366025378,0.10556787119860875,-1.0
lewidi_md,gemma,0,GPP-laplace,1,16,0.7013108309848635,0.14269069111105648,0.2997214579714068,0.31479825467436456,0.6653581943081452,0.6653581943081452,0.48791706562042236,0.09684278070926666,-0.12877796400693392,0.09750646102691612,-0.12877796400693392,0.09750646102691612,-0.12026748836850812,0.09941327246165914,-0.12707045403251657,0.0987550273189841,-0.12026748836850813,0.09941327246165914,-0.1270704530160233,0.09875502792405572,-0.11118708150663585,0.10567551826861327,-1.0
lewidi_md,gemma,0,LPE,1,16,0.7808031366244037,0.15944142418994686,0.31491134672020193,0.3025521482781762,0.6503107621851488,0.6503107621851488,0.40394291281700134,0.08957464247941971,-0.12846422320432532,0.031199106047982556,-0.12846422320432535,0.031199106047982563,-0.12401413766758007,0.03096050643705074,-0.1279903000057736,0.03134030993470248,-0.1240141376675801,0.030960506437050728,-0.12799029937620815,0.03134031009707348,-0.1267384197365424,-0.013965667217396822,-1.0
lewidi_md,gemma,0,LP-temp,1,16,0.7255349548289208,0.15385023928821015,0.31549106583896697,0.3171578984954359,0.643114164213281,0.643114164213281,0.5807063939803876,,-0.11930249311645996,,-0.11930249311645995,,-0.11408130407781605,,-0.11853110391966934,,-0.11408130407781605,,-0.11853110310404964,,-0.12081442198258845,,-1.0
lewidi_md,gemma,0,GPP-cosine,1,64,0.9988133030844815,0.19324262662210143,0.34854553260055693,0.3096202642488194,0.6038599934576382,0.6038599934576382,0.4522358179092407,0.03166481852531433,-0.07771178834926425,0.08880154422047046,-0.07771178834926425,0.08880154422047046,-0.0803399459689868,0.07922955079531752,-0.07904422844515051,0.08649699910334566,-0.0803399459689868,0.07922955079531753,-0.07904422906441337,0.08649699848089017,-0.07636437520579605,0.09307488350045214,-1.0
lewidi_md,gemma,0,GPP-rbf,1,64,0.7063993040162706,0.15326051739999255,0.31768530876719075,0.3314834908127762,0.60549558390579,0.60549558390579,0.598353385925293,0.04386051371693611,-0.08519327875171676,0.10249789787785821,-0.08519327875171676,0.10249789787785821,-0.08462237412214998,0.09426146939183097,-0.08560339140521361,0.1006936841264934,-0.08462237412214998,0.094261469391831,-0.08560339181135693,0.10069368383347083,-0.10267425898325346,0.11716310174661845,-1.0
lewidi_md,gemma,0,GPP-laplace,1,64,0.7321376076401771,0.15719806096692418,0.3216267910992832,0.33594479847904957,0.5904481517827936,0.5904481517827936,0.5493313074111938,0.0859898030757904,-0.10874653735585874,0.11860820166283517,-0.10874653735585874,0.11860820166283517,-0.11032290485420394,0.11132519108315478,-0.10997156897159208,0.1172045605577924,-0.11032290485420394,0.11132519108315479,-0.10997156919267728,0.11720456029519176,-0.10747434382832659,0.11543637689252899,-1.0
lewidi_md,gemma,0,LPE,1,64,0.7435497879039109,0.1602008017108111,0.32538668993599584,0.31821882188140405,0.6087667648020936,0.6087667648020936,0.5299217104911804,0.06644163280725479,-0.09687685506209937,0.1042717213955037,-0.09687685506209937,0.10427172139550372,-0.09612800501874655,0.10531391414377453,-0.09731288382991145,0.10530351496189735,-0.09612800501874655,0.10531391414377456,-0.09731288412008579,0.1053035151423753,-0.11646294696246035,0.12564799768616322,-1.0
