dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,llama,0,2,2,Maha,0.5597175458286568,0.22839506172839505
goemotions,llama,0,2,2,MSP,0.4147460050237828,0.22839506172839505
goemotions,llama,0,2,2,kNN,0.5430862861418417,0.22839506172839505
goemotions,llama,0,2,2,LPE -var,0.54083493666827,0.22839506172839505
goemotions,llama,0,1,0,GPP neg-latent-var,0.518832628331309,0.22427440633245382
goemotions,llama,0,1,0,GPP -MI,0.5215653837025869,0.22427440633245382
goemotions,llama,0,1,0,Maha,0.6337654088313718,0.22427440633245382
goemotions,llama,0,1,0,MSP,0.4963318954084126,0.22427440633245382
goemotions,llama,0,1,0,kNN,0.5237467018469658,0.22427440633245382
goemotions,llama,0,1,0,LPE -var,0.49856556518825645,0.22427440633245382
goemotions,llama,0,1,1,GPP neg-latent-var,0.5190804260725105,0.22383465259454705
goemotions,llama,0,1,1,GPP -MI,0.5218445924250674,0.22383465259454705
goemotions,llama,0,1,1,Maha,0.6106364562828943,0.22383465259454705
goemotions,llama,0,1,1,MSP,0.525620890396616,0.22383465259454705
goemotions,llama,0,1,1,kNN,0.5207591685164246,0.22383465259454705
goemotions,llama,0,1,1,LPE -var,0.5158904664181709,0.22383465259454705
goemotions,llama,0,1,2,GPP neg-latent-var,0.5206614454635563,0.22163588390501318
goemotions,llama,0,1,2,GPP -MI,0.523907246862392,0.22163588390501318
goemotions,llama,0,1,2,Maha,0.6172502128966509,0.22163588390501318
goemotions,llama,0,1,2,MSP,0.4912991581857017,0.22163588390501318
goemotions,llama,0,1,2,kNN,0.524521506051849,0.22163588390501318
goemotions,llama,0,1,2,LPE -var,0.49175985257779453,0.22163588390501318
goemotions,llama,0,10,0,GPP neg-latent-var,0.42003576307347545,0.22659667541557305
goemotions,llama,0,10,0,GPP -MI,0.4104234777670335,0.22659667541557305
goemotions,llama,0,10,0,Maha,0.42915304446593305,0.22659667541557305
goemotions,llama,0,10,0,MSP,0.5093283295728385,0.22659667541557305
goemotions,llama,0,10,0,kNN,0.4164018971312797,0.22659667541557305
goemotions,llama,0,10,0,LPE -var,0.4654533314914583,0.22659667541557305
goemotions,llama,0,10,1,GPP neg-latent-var,0.4214555417414928,0.22440944881889763
goemotions,llama,0,10,1,GPP -MI,0.41746481251247103,0.22440944881889763
goemotions,llama,0,10,1,Maha,0.4425104756642262,0.22440944881889763
goemotions,llama,0,10,1,MSP,0.5214271461681326,0.22440944881889763
goemotions,llama,0,10,1,kNN,0.41965587634878976,0.22440944881889763
goemotions,llama,0,10,1,LPE -var,0.4990138294116744,0.22440944881889763
goemotions,llama,0,10,2,GPP neg-latent-var,0.4190227318076469,0.22484689413823272
goemotions,llama,0,10,2,GPP -MI,0.40875811576184556,0.22484689413823272
goemotions,llama,0,10,2,Maha,0.41340501296987,0.22484689413823272
goemotions,llama,0,10,2,MSP,0.4760326011880094,0.22484689413823272
goemotions,llama,0,10,2,kNN,0.41715783334100776,0.22484689413823272
goemotions,llama,0,10,2,LPE -var,0.4617580697149698,0.22484689413823272
goemotions,llama,0,7,0,GPP neg-latent-var,0.48641615044625336,0.22149695387293297
goemotions,llama,0,7,0,GPP -MI,0.48874127544838647,0.22149695387293297
goemotions,llama,0,7,0,Maha,0.5125087458830355,0.22149695387293297
goemotions,llama,0,7,0,MSP,0.5748135633713886,0.22149695387293297
goemotions,llama,0,7,0,kNN,0.5077859690438403,0.22149695387293297
