dataset,model,variant,K,method,best_layer,soft_ce,tvd,acc,corrAlea_entropy,corrMI_entropy,corrAleaS_entropy,mono_alea
lewidi_md,gemma,mean256,2,GPP-cosine,0,0.6813724046432167,0.24136126420365786,0.732090284592738,0.22501816848246864,0.1640666701290154,0.21337677773895583,1.0
lewidi_md,gemma,mean256,2,GPP-laplace,50,0.6230652329263207,0.26884066941174545,0.6734707229309781,0.13946760754600113,0.11379377981513432,0.12373415473172597,1.0
lewidi_md,gemma,mean256,2,GPP-rbf,25,0.5908980398784267,0.21366738778756486,0.7674844618907425,0.3259797374612898,0.1844542320518233,0.314236993749439,1.0
lewidi_md,gemma,mean256,2,LP-temp,25,0.58045056995725,0.24108795641737255,0.7398756951259404,0.2800731026657113,,0.26643395350983073,1.0
lewidi_md,gemma,mean256,2,LPE,25,0.7105849908546439,0.22387231943069968,0.7555119398102715,0.28846492436530546,0.24667300244459214,0.2915345737554409,1.0
lewidi_md,llama,mean256,2,GPP-cosine,0,0.5998753369467139,0.25674571589258155,0.6997710173372587,0.2770950958841776,-0.08547451090152955,0.24892585115730204,1.0
lewidi_md,llama,mean256,2,GPP-laplace,48,0.6236618498641772,0.26916285604336,0.673470722930978,0.1474044495870524,0.12607920494995647,0.12800379528056532,1.0
lewidi_md,llama,mean256,2,GPP-rbf,32,0.583998359455729,0.20855185084694527,0.7713444553483808,0.3412046248878714,0.20460973146333267,0.33323065056771706,1.0
lewidi_md,llama,mean256,2,LP-temp,16,0.5785087417653785,0.23918201556638388,0.7437356885835786,0.27083352904253977,,0.2711680576767409,1.0
lewidi_md,llama,mean256,2,LPE,16,0.7032941167700225,0.21965471221683702,0.7589793915603533,0.2964766957568786,0.2564249020016532,0.30330908772499443,1.0
lewidi_md,qwen,mean256,2,GPP-cosine,0,0.6100170245784974,0.2642760868887711,0.6956493294079162,0.21474470245655247,-0.11444650293135114,0.17880398181472734,0.9
lewidi_md,qwen,mean256,2,GPP-laplace,38,0.633723471094551,0.2766041616942413,0.6710500490677135,0.08184610849574349,0.04324857284902821,0.06603682020513041,0.9
lewidi_md,qwen,mean256,2,GPP-rbf,29,0.6059054485087444,0.22378425026710005,0.7540726202158979,0.2966348244426903,0.06144454442749425,0.2894355522796125,1.0
lewidi_md,qwen,mean256,2,LP-temp,19,0.5910385485750169,0.24913848979169514,0.7339875695125941,0.26518627977773146,,0.2639660894042614,1.0
lewidi_md,qwen,mean256,2,LPE,29,0.7200891868184653,0.23333394891629178,0.7417075564278705,0.27429689516727007,0.2007520993648538,0.27648535564777726,1.0
chaosnli_snli,gemma,mean256,3,GPP-cosine,25,1.3184359596864463,0.38545464470816065,0.5116483516483517,0.12813211187529674,0.05544262922119847,0.13920532758185605,0.7999999999999999
chaosnli_snli,gemma,mean256,3,GPP-laplace,37,1.0183563464824732,0.37072382293805317,0.523956043956044,0.0867814488544729,0.07185370187049936,0.07013407188884982,0.96
chaosnli_snli,gemma,mean256,3,GPP-rbf,37,0.9767704146569871,0.30961883208791185,0.6285714285714286,0.09734353340670737,0.12630946818357675,0.10087517519585372,0.6000000000000001
