K,rep,n_obs,method,acc,brier,ece,mi
2,3,512,LP,0.999,0.004636426814273012,0.015906902865330134,
2,3,512,SVM,1.0,0.0016714635552081988,0.010144699370404471,
2,4,32,GPP-cosine,0.9655,0.06558664375057896,0.05339859589934348,0.017687015235424042
2,4,32,GPP-rbf,0.929,0.1231150084276753,0.059717662692069996,0.06270502507686615
2,4,32,LPE,0.9665,0.07416835247261819,0.07132587334513667,0.036556560546159744
2,4,32,LP,0.9685,0.0636962664946296,0.04247447461983184,
2,4,32,SVM,0.971,0.06995434554654598,0.057803822958318346,
2,4,128,GPP-cosine,0.9815,0.0357506836432827,0.05264273202419281,0.0032762521877884865
2,4,128,GPP-rbf,1.0,0.005463019510934961,0.031070153892040254,0.008508975617587566
2,4,128,LPE,0.9855,0.026466257866422812,0.02782423746585846,0.005513787269592285
2,4,128,LP,0.985,0.027155450552679296,0.02152162792620837,
2,4,128,SVM,0.9785,0.038001049234267455,0.011777635693937574,
2,4,512,GPP-cosine,0.9865,0.029426727262590217,0.04533636608719826,0.0007388206431642175
2,4,512,GPP-rbf,1.0,0.0007771384686755827,0.013827330648899077,0.0017219627043232322
2,4,512,LPE,0.996,0.008087408148332639,0.015175654977560044,0.002578365383669734
2,4,512,LP,0.9985,0.0058994446210840455,0.015441320207555061,
2,4,512,SVM,1.0,0.0015085997402584721,0.009308228520278315,
4,0,32,GPP-cosine,0.472,0.7010364546176421,0.1515569829940796,0.06716182082891464
4,0,32,GPP-rbf,0.5595,0.5374473004359854,0.10652952717244625,0.2648222744464874
4,0,32,LPE,0.512,0.6482560841771877,0.0661958009749651,0.2685157358646393
4,0,32,LP,0.535,0.6793379048860345,0.15707484240129446,
4,0,32,SVM,0.3175,0.7244156547719847,0.02655969493747095,
4,0,128,GPP-cosine,0.5775,0.5582136783980485,0.08418246997892857,0.01961580105125904
4,0,128,GPP-rbf,0.8415,0.21938323113148983,0.08076593597233295,0.11305046081542969
4,0,128,LPE,0.701,0.4484927617262138,0.1074170876443386,0.1264895796775818
4,0,128,LP,0.694,0.44881577394328964,0.07651277823089052,
4,0,128,SVM,0.737,0.42341217554443683,0.15350170747652622,
4,0,512,GPP-cosine,0.618,0.4957742788158334,0.06198142962157725,0.004991746041923761
4,0,512,GPP-rbf,0.9885,0.03127592923935381,0.06951553195714952,0.0214377511292696
4,0,512,LPE,0.733,0.3668966045711451,0.05634664495289325,0.03212037682533264
4,0,512,LP,0.7355,0.3697066067724759,0.05238469684940288,
4,0,512,SVM,0.828,0.27660966308968876,0.070750222206784,
4,1,32,GPP-cosine,0.496,0.7261270041023579,0.20284760172665123,0.057654887437820435
4,1,32,GPP-rbf,0.5445,0.5837641809606355,0.08430992560088635,0.2829715609550476
4,1,32,LPE,0.514,0.7222123818709945,0.14258227445185184,0.17764614522457123
4,1,32,LP,0.5325,0.7414031615418634,0.2276534634812529,
4,1,32,SVM,0.518,0.7358968559522753,0.17467097590940633,
4,1,128,GPP-cosine,0.6265,0.5252158373222454,0.08869941955804823,0.023834602907299995
4,1,128,GPP-rbf,0.919,0.165881292852381,0.14406966511905192,0.12329281866550446
4,1,128,LPE,0.655,0.46612902677200074,0.07876575067639352,0.1379888355731964
4,1,128,LP,0.642,0.4771584156293445,0.03409510845542908,
4,1,128,SVM,0.6975,0.496070241107929,0.19387146732029106,
4,1,512,GPP-cosine,0.6385,0.5108446806357552,0.11254906666278841,0.0048169041983783245
4,1,512,GPP-rbf,0.9875,0.02657529554487806,0.07079888795316219,0.023832695558667183
