regime,method,rep,n_obs,auroc
near-OOD (held-out shape 3),LPE,2,128,0.5500984375
near-OOD (held-out shape 3),kNN,2,128,0.8876421875
near-OOD (held-out shape 3),GPP (neg latent var),3,8,0.6820515625000001
near-OOD (held-out shape 3),GPP (Episteme),3,8,0.7132937499999998
near-OOD (held-out shape 3),Maha,3,8,0.41427187499999996
near-OOD (held-out shape 3),MSP,3,8,0.5551421875
near-OOD (held-out shape 3),LPE,3,8,0.66429375
near-OOD (held-out shape 3),kNN,3,8,0.7583765625000001
near-OOD (held-out shape 3),GPP (neg latent var),3,16,0.7385390625
near-OOD (held-out shape 3),GPP (Episteme),3,16,0.691128125
near-OOD (held-out shape 3),Maha,3,16,0.6426828125
near-OOD (held-out shape 3),MSP,3,16,0.49410781249999997
near-OOD (held-out shape 3),LPE,3,16,0.65723125
near-OOD (held-out shape 3),kNN,3,16,0.8234812499999999
near-OOD (held-out shape 3),GPP (neg latent var),3,32,0.8902921875
near-OOD (held-out shape 3),GPP (Episteme),3,32,0.5381484375
near-OOD (held-out shape 3),Maha,3,32,0.8452890624999998
near-OOD (held-out shape 3),MSP,3,32,0.4767437499999999
near-OOD (held-out shape 3),LPE,3,32,0.6895296875000001
near-OOD (held-out shape 3),kNN,3,32,0.8007906250000001
near-OOD (held-out shape 3),GPP (neg latent var),3,64,0.8776640625000001
near-OOD (held-out shape 3),GPP (Episteme),3,64,0.5846375
near-OOD (held-out shape 3),Maha,3,64,0.87985625
near-OOD (held-out shape 3),MSP,3,64,0.3260578125
near-OOD (held-out shape 3),LPE,3,64,0.63228125
near-OOD (held-out shape 3),kNN,3,64,0.83845
near-OOD (held-out shape 3),GPP (neg latent var),3,128,0.8877781250000001
near-OOD (held-out shape 3),GPP (Episteme),3,128,0.409934375
near-OOD (held-out shape 3),Maha,3,128,0.8554234374999999
near-OOD (held-out shape 3),MSP,3,128,0.2648484375
near-OOD (held-out shape 3),LPE,3,128,0.47387812500000004
near-OOD (held-out shape 3),kNN,3,128,0.8936109375
near-OOD (held-out shape 3),GPP (neg latent var),4,8,0.7483203125
near-OOD (held-out shape 3),GPP (Episteme),4,8,0.71628203125
near-OOD (held-out shape 3),Maha,4,8,0.697309375
near-OOD (held-out shape 3),MSP,4,8,0.43253593749999997
near-OOD (held-out shape 3),LPE,4,8,0.676778125
near-OOD (held-out shape 3),kNN,4,8,0.775215625
near-OOD (held-out shape 3),GPP (neg latent var),4,16,0.78093125
near-OOD (held-out shape 3),GPP (Episteme),4,16,0.420740625
near-OOD (held-out shape 3),Maha,4,16,0.68286875
near-OOD (held-out shape 3),MSP,4,16,0.333565625
near-OOD (held-out shape 3),LPE,4,16,0.37832499999999997
near-OOD (held-out shape 3),kNN,4,16,0.7563656249999999
near-OOD (held-out shape 3),GPP (neg latent var),4,32,0.8595375
near-OOD (held-out shape 3),GPP (Episteme),4,32,0.46219687499999995
near-OOD (held-out shape 3),Maha,4,32,0.8869953125000001
near-OOD (held-out shape 3),MSP,4,32,0.32386875
near-OOD (held-out shape 3),LPE,4,32,0.5257421875
near-OOD (held-out shape 3),kNN,4,32,0.80353125
near-OOD (held-out shape 3),GPP (neg latent var),4,64,0.9214140625
near-OOD (held-out shape 3),GPP (Episteme),4,64,0.32093281249999994
near-OOD (held-out shape 3),Maha,4,64,0.8958921875
near-OOD (held-out shape 3),MSP,4,64,0.23359531249999999
near-OOD (held-out shape 3),LPE,4,64,0.4489875
