dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,gemma,0,0,0,GPP neg-latent-var,0.519338572979064,0.2227293473299863
goemotions,gemma,0,0,0,GPP -MI,0.5364005424540149,0.2227293473299863
goemotions,gemma,0,0,0,Maha,0.5293949366591035,0.2227293473299863
goemotions,gemma,0,0,0,MSP,0.4501975240162561,0.2227293473299863
goemotions,gemma,0,0,0,kNN,0.49407864709697563,0.2227293473299863
goemotions,gemma,0,0,0,LPE -var,0.41566521590062866,0.2227293473299863
goemotions,gemma,0,0,1,GPP neg-latent-var,0.5250186168296139,0.22866271109082612
goemotions,gemma,0,0,1,GPP -MI,0.5610850390571258,0.22866271109082612
goemotions,gemma,0,0,1,Maha,0.5274928535395997,0.22866271109082612
goemotions,gemma,0,0,1,MSP,0.508078939725148,0.22866271109082612
goemotions,gemma,0,0,1,kNN,0.4932575411808639,0.22866271109082612
goemotions,gemma,0,0,1,LPE -var,0.4924517218110626,0.22866271109082612
goemotions,gemma,0,0,2,GPP neg-latent-var,0.5208453896868224,0.23322683706070288
goemotions,gemma,0,0,2,GPP -MI,0.5352846245733416,0.23322683706070288
goemotions,gemma,0,0,2,Maha,0.521456851539246,0.23322683706070288
goemotions,gemma,0,0,2,MSP,0.48293693862888415,0.23322683706070288
goemotions,gemma,0,0,2,kNN,0.5009161008824705,0.23322683706070288
goemotions,gemma,0,0,2,LPE -var,0.5009401225981014,0.23322683706070288
goemotions,gemma,0,4,0,GPP neg-latent-var,0.5253334746573085,0.24285065819337268
goemotions,gemma,0,4,0,GPP -MI,0.5314995011417287,0.24285065819337268
goemotions,gemma,0,4,0,Maha,0.5335548433032022,0.24285065819337268
goemotions,gemma,0,4,0,MSP,0.48507227108396256,0.24285065819337268
goemotions,gemma,0,4,0,kNN,0.5197964934756711,0.24285065819337268
goemotions,gemma,0,4,0,LPE -var,0.5189761999672804,0.24285065819337268
goemotions,gemma,0,4,1,GPP neg-latent-var,0.5191397978299089,0.24557421697684975
goemotions,gemma,0,4,1,GPP -MI,0.5100820063088866,0.24557421697684975
goemotions,gemma,0,4,1,Maha,0.5213633462445073,0.24557421697684975
goemotions,gemma,0,4,1,MSP,0.4950632616805417,0.24557421697684975
goemotions,gemma,0,4,1,kNN,0.521344912682521,0.24557421697684975
goemotions,gemma,0,4,1,LPE -var,0.5036901686901342,0.24557421697684975
goemotions,gemma,0,4,2,GPP neg-latent-var,0.5094852197395799,0.24058102587380845
goemotions,gemma,0,4,2,GPP -MI,0.5085485643711505,0.24058102587380845
goemotions,gemma,0,4,2,Maha,0.5223864089347475,0.24058102587380845
goemotions,gemma,0,4,2,MSP,0.47794769937625436,0.24058102587380845
goemotions,gemma,0,4,2,kNN,0.5223449334202783,0.24058102587380845
goemotions,gemma,0,4,2,LPE -var,0.5179277911293091,0.24058102587380845
goemotions,gemma,0,2,0,GPP neg-latent-var,0.5122120677676233,0.21781305114638447
