dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAleaS_entropy,corrMIS_entropy,mono_alea
goemotions,gemma,0,GPP-cosine,2,1024,3.095179438855843,0.5206580192896194,0.6710532286503996,0.9620518661197607,0.2629166666666667,0.2629166666666667,2.041919231414795,0.11575763672590256,0.11467763638325286,0.09222891361997866,0.11467763638325287,0.09222891361997866,0.10868970095419073,0.08372637066695225,0.11159782096846119,0.09107417568041826,0.08418217496889982,0.07273058302952858,0.10350656892557597,0.08297358286229567,1.0
goemotions,gemma,0,GPP-rbf,2,1024,3.0494449376584334,0.6210381381522381,0.7868806331476662,1.9259387882522931,0.24291666666666667,0.24291666666666667,2.4063737392425537,0.7973365187644958,0.06823586865393032,-0.1268520941358397,0.06823586865393032,-0.1268520941358397,0.04876587835557101,-0.1088843306760416,0.06020673047879705,-0.1074947019727693,0.04018936716535276,-0.07776637685877978,0.08211657956332495,-0.14831465206242642,0.7999999999999999
goemotions,gemma,0,GPP-laplace,2,1024,3.0928180481739727,0.6370010689137402,0.8039968044665875,1.9878075304415672,0.21125,0.21125,2.378891706466675,0.8866870999336243,-0.054574141199338226,-0.07874267642803462,-0.05457414119933823,-0.07874267642803463,-0.054532971214282036,-0.06006683802487785,-0.045626607216546336,-0.05617714172236118,-0.036438982275479315,-0.025540253045574612,-0.10797976166949952,-0.12550743887273424,-0.7999999999999999
goemotions,gemma,0,LPE,2,1024,3.8236126053646626,0.5250955348893526,0.6587463490564578,0.5080044052384222,0.2529166666666667,0.2529166666666667,0.8868186473846436,0.6565893292427063,0.19197303317588504,0.04228366586110016,0.19197303317588504,0.042283665861100175,0.16856038119284059,0.061906612712388974,0.1769615763072967,0.06200967933137266,0.13669491843182702,0.06829080515220692,0.17069945595260158,0.011180400989140865,1.0
goemotions,gemma,0,LP-temp,2,1024,3.1022951863530213,0.5648350410401406,0.715397148861201,1.340136780622615,0.22541666666666665,0.22541666666666665,2.5861310225085066,,0.18848190000881673,,0.18848190000881673,,0.1749854765341682,,0.17985556842718375,,0.14110622149601665,,0.1776281009414354,,1.0
goemotions,gemma,0,GPP-cosine,4,1024,3.1130308979773647,0.5257175308053795,0.6773939711837641,0.9906292566892625,0.26208333333333333,0.26208333333333333,2.0652966499328613,0.11609253287315369,0.09826172011643579,0.07915705183518602,0.0982617201164358,0.07915705183518601,0.08679838714426127,0.06786236202665925,0.09527084591064434,0.07688427332202877,0.06463881645066093,0.056466347039999976,0.07522402304890913,0.06929364987562972,1.0
goemotions,gemma,0,GPP-rbf,4,1024,3.0449204888923087,0.62049817517324,0.7869504578411579,1.930501069002231,0.235,0.235,2.417003870010376,0.7912242412567139,0.08921127656375613,-0.13427648309853793,0.08921127656375615,-0.13427648309853793,0.061535980743841784,-0.11517434145257577,0.07590577286846922,-0.11365126612432433,0.03294290328823468,-0.08409073564965099,0.1108270316816532,-0.14986095525407053,1.0
goemotions,gemma,0,GPP-laplace,4,1024,3.086784267664143,0.6361964244986188,0.8039615880179918,1.9918511857075605,0.21041666666666667,0.21041666666666667,2.3833260536193848,0.8862963914871216,-0.02438737154980221,-0.08277009602798187,-0.024387371549802198,-0.08277009602798185,-0.027083935520112082,-0.06089598172753102,-0.01549168758000194,-0.05650601743748694,-0.018551428249570907,-0.024893557713896876,-0.06636491472234472,-0.12131102652153283,-1.0
goemotions,gemma,0,LPE,4,1024,3.827844983540647,0.5272109399314322,0.6639931427864705,0.5384508006653107,0.24708333333333332,0.24708333333333332,0.9430906176567078,0.6102474927902222,0.17822547151837628,0.011715094104866139,0.17822547151837626,0.011715094104866135,0.1477858138218209,0.020426957157081718,0.15652378898788682,0.01575555675257481,0.10874703382121541,0.013691010131280717,0.1666952376174167,0.008900755513040925,1.0
goemotions,gemma,0,LP-temp,4,1024,3.109345768723675,0.5677530763608247,0.719619705732772,1.3823589513001873,0.22875,0.22875,2.6222474116892918,,0.17268414030998222,,0.17268414030998225,,0.1545884525609171,,0.15938340011346785,,0.11722119772994033,,0.1461526034115345,,1.0
goemotions,gemma,12,GPP-cosine,2,1024,3.265177262344823,0.6419931472028838,0.7959134145720606,1.8231418263175112,0.14125,0.14125,3.0669021606445312,0.02016972191631794,0.03146169989687412,0.014130321649833796,0.03146169989687413,0.01413032164983379,0.03361887023605725,0.013301146958476588,0.035393380613282927,0.01624795819681747,0.038919468416281314,0.0025705325069959053,-0.07333158344255,0.010518912834429678,0.39999999999999997
goemotions,gemma,12,GPP-rbf,2,1024,2.929932579133897,0.5554917894263087,0.7146112533899577,1.5426207455590326,0.24916666666666668,0.24916666666666668,2.4354023933410645,0.3835180103778839,0.1184435138547113,-0.1970681864970777,0.1184435138547113,-0.1970681864970777,0.09640742170504801,-0.1674626674883584,0.104301681501515,-0.17690754529751931,0.08053974934504268,-0.11935100679236058,0.11840541340554928,-0.18254065089970095,0.7999999999999999
goemotions,gemma,12,GPP-laplace,2,1024,3.109715359748929,0.6418585947308869,0.8090820278896718,1.9978399636938373,0.20708333333333334,0.20708333333333334,2.378474473953247,0.8971366286277771,-0.07907429696736075,-0.07301603851249254,-0.07907429696736075,-0.07301603851249254,-0.07072753608309798,-0.04647064639854742,-0.06462164055273743,-0.04586742011531277,-0.041019780456311467,-0.0014359027447117742,-0.15218213167879768,-0.15049659283791764,-1.0
goemotions,gemma,12,LPE,2,1024,3.796448162750981,0.5357388804473979,0.6707171569999361,0.5304195503487411,0.23208333333333334,0.23208333333333334,0.9099943041801453,0.6287732720375061,0.17497194066105864,-0.03199213185104642,0.17497194066105864,-0.03199213185104643,0.14633108837495779,-0.015524042650799012,0.15454162694838375,-0.022365275880016022,0.11799818968173542,0.0008885269351947469,0.15119499752462476,-0.04578090066202091,0.7999999999999999
goemotions,gemma,12,LP-temp,2,1024,3.1754077521593485,0.5634541915206163,0.7108103968429447,1.1776516844100076,0.21166666666666667,0.21166666666666667,2.406397856721075,,0.17513057898695483,,0.17513057898695483,,0.15578064616148216,,0.15983059846438016,,0.12646190135306304,,0.1667637576975983,,1.0
goemotions,gemma,12,GPP-cosine,4,1024,3.263351143166785,0.6523510179332839,0.810453138074936,1.8635772091391056,0.13708333333333333,0.13708333333333333,3.1019303798675537,0.01981262117624283,0.025736964408687113,0.0016978577439953641,0.02573696440868712,0.0016978577439953641,0.030105343408963866,0.001818771867549137,0.026827120117261988,0.0033004908256159156,0.03488844359772246,-0.00525648472657845,-0.07554669415018042,0.016036317532907882,0.19999999999999998
goemotions,gemma,12,GPP-rbf,4,1024,2.925548986367407,0.5551487399645831,0.7143735031861677,1.5538315459660206,0.25,0.25,2.4497454166412354,0.38048526644706726,0.1580774112881539,-0.19082116423614892,0.15807741128815392,-0.19082116423614892,0.13435375933010818,-0.16118345941459314,0.145694996277677,-0.16949049852668885,0.10865657780945515,-0.11375863024193295,0.14713219326095153,-0.18135453245776095,0.7999999999999999
goemotions,gemma,12,GPP-laplace,4,1024,3.107647579586359,0.6418005890675563,0.809448385591968,2.0011453951495985,0.20708333333333334,0.20708333333333334,2.3815245628356934,0.8973922729492188,-0.05944925139387086,-0.07555166369567964,-0.059449251393870875,-0.07555166369567963,-0.05394237252209319,-0.046692777065399246,-0.044392270086981225,-0.04490980467952002,-0.029927105964582017,-0.0007396938059046759,-0.11751762111571244,-0.14178177507350417,-1.0
goemotions,gemma,12,LPE,4,1024,3.753709000794744,0.5323421427178455,0.6693251827691834,0.5509688248865939,0.24083333333333334,0.24083333333333334,0.9577752947807312,0.5963547825813293,0.20365911100355055,0.009848549754356145,0.20365911100355055,0.009848549754356136,0.17131003700894024,0.023401005312491268,0.1853065628052118,0.02743832969491914,0.13353994250654094,0.03869308828750139,0.18179668964996792,-0.015259443707098279,1.0
goemotions,gemma,12,LP-temp,4,1024,3.1745280729299705,0.565392047753461,0.7145654811678697,1.1892699504404716,0.2175,0.2175,2.423149128334665,,0.1902154108794314,,0.1902154108794314,,0.16743424599768084,,0.1796152647133127,,0.13303128010495702,,0.17391533702224973,,1.0
goemotions,gemma,25,GPP-cosine,2,1024,3.2582447716589473,0.6426110794977187,0.7967616226818104,1.8422374469101483,0.14833333333333334,0.14833333333333334,3.0915117263793945,0.015243514440953732,0.011989216162326361,0.003366273444312326,0.011989216162326358,0.0033662734443123295,0.013685883503862465,0.0015974683940060547,0.01010968754485714,0.003400756967927701,0.017294145809566078,-0.008006745398805444,-0.06896967559454789,0.05544192641369169,0.19999999999999998
goemotions,gemma,25,GPP-rbf,2,1024,2.8862300826029292,0.5423429527768201,0.701122979137884,1.5081921691027007,0.2520833333333333,0.2520833333333333,2.4290459156036377,0.355200856924057,0.17149048926152038,0.03435872165567831,0.17149048926152038,0.03435872165567831,0.1441824860820064,0.020156139234073372,0.15971510226850724,0.03548381800943815,0.11229383453473113,0.015581771333959962,0.14785872012549406,0.006968167356462073,1.0
