dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,qwen,0,2,0,GPP -MI,0.5586670274170273,0.23412698412698413
goemotions,qwen,0,2,0,Maha,0.564260328149217,0.23412698412698413
goemotions,qwen,0,2,0,MSP,0.445099139543584,0.23412698412698413
goemotions,qwen,0,2,0,kNN,0.5562436534658757,0.23412698412698413
goemotions,qwen,0,2,0,LPE -var,0.5388207471540805,0.23412698412698413
goemotions,qwen,0,2,1,GPP neg-latent-var,0.5609835123724013,0.2292768959435626
goemotions,qwen,0,2,1,GPP -MI,0.5532474213029769,0.2292768959435626
goemotions,qwen,0,2,1,Maha,0.572260301426968,0.2292768959435626
goemotions,qwen,0,2,1,MSP,0.49955908289241624,0.2292768959435626
goemotions,qwen,0,2,1,kNN,0.557569745069745,0.2292768959435626
goemotions,qwen,0,2,1,LPE -var,0.5735730319063652,0.2292768959435626
goemotions,qwen,0,2,2,GPP neg-latent-var,0.558585190529635,0.2275132275132275
goemotions,qwen,0,2,2,GPP -MI,0.5530553551386885,0.2275132275132275
goemotions,qwen,0,2,2,Maha,0.5695780556891668,0.2275132275132275
goemotions,qwen,0,2,2,MSP,0.4460344182566405,0.2275132275132275
goemotions,qwen,0,2,2,kNN,0.5577501202501203,0.2275132275132275
goemotions,qwen,0,2,2,LPE -var,0.5421510074287853,0.2275132275132275
goemotions,qwen,0,1,0,GPP neg-latent-var,0.5056120953218578,0.2233948988566403
goemotions,qwen,0,1,0,GPP -MI,0.5074077564183106,0.2233948988566403
goemotions,qwen,0,1,0,Maha,0.5556811994806717,0.2233948988566403
goemotions,qwen,0,1,0,MSP,0.514805042509528,0.2233948988566403
goemotions,qwen,0,1,0,kNN,0.5112625818430567,0.2233948988566403
goemotions,qwen,0,1,0,LPE -var,0.5111857994443747,0.2233948988566403
goemotions,qwen,0,1,1,GPP neg-latent-var,0.5050990492942999,0.2260334212840809
goemotions,qwen,0,1,1,GPP -MI,0.5055702140134858,0.2260334212840809
goemotions,qwen,0,1,1,Maha,0.5465615445826527,0.2260334212840809
goemotions,qwen,0,1,1,MSP,0.4569739358657564,0.2260334212840809
goemotions,qwen,0,1,1,kNN,0.5077654925939886,0.2260334212840809
goemotions,qwen,0,1,1,LPE -var,0.49455892002066143,0.2260334212840809
goemotions,qwen,0,1,2,GPP neg-latent-var,0.5075316552889112,0.2233948988566403
goemotions,qwen,0,1,2,GPP -MI,0.507676494813698,0.2233948988566403
goemotions,qwen,0,1,2,Maha,0.5583930141977635,0.2233948988566403
goemotions,qwen,0,1,2,MSP,0.4560420767544778,0.2233948988566403
goemotions,qwen,0,1,2,kNN,0.510770476469685,0.2233948988566403
goemotions,qwen,0,1,2,LPE -var,0.5029177311499211,0.2233948988566403
goemotions,qwen,0,10,0,GPP neg-latent-var,0.42036576568279843,0.23009623797025372
goemotions,qwen,0,10,0,GPP -MI,0.41073429417814,0.23009623797025372
goemotions,qwen,0,10,0,Maha,0.4306073582907399,0.23009623797025372
goemotions,qwen,0,10,0,MSP,0.5471059538610306,0.23009623797025372
goemotions,qwen,0,10,0,kNN,0.428001872572946,0.23009623797025372
goemotions,qwen,0,10,0,LPE -var,0.4940062316771807,0.23009623797025372
goemotions,qwen,0,10,1,GPP neg-latent-var,0.42221915243050756,0.23009623797025372
goemotions,qwen,0,10,1,GPP -MI,0.4200242513545456,0.23009623797025372
goemotions,qwen,0,10,1,Maha,0.43655507973783975,0.23009623797025372
goemotions,qwen,0,10,1,MSP,0.501626989608755,0.23009623797025372
goemotions,qwen,0,10,1,kNN,0.42758745069147064,0.23009623797025372
goemotions,qwen,0,10,1,LPE -var,0.4568502402112016,0.23009623797025372
goemotions,qwen,0,10,2,GPP neg-latent-var,0.4182169114825559,0.22703412073490814
goemotions,qwen,0,10,2,GPP -MI,0.41204471151632366,0.22703412073490814
goemotions,qwen,0,10,2,Maha,0.42731116943715364,0.22703412073490814
goemotions,qwen,0,10,2,MSP,0.5229390185875888,0.22703412073490814
goemotions,qwen,0,10,2,kNN,0.4268391889610289,0.22703412073490814
