dataset,model,layer,method,seed,n_obs,soft_ce,jsd,tvd,entce,rankcs,acc,mean_alea,mean_mi,corrAlea_entropy,corrMI_entropy,corrAlea_norm_entropy,corrMI_norm_entropy,corrAlea_one_minus_max,corrMI_one_minus_max,corrAlea_gini,corrMI_gini,corrAlea_top2_margin,corrMI_top2_margin,corrAleaS_entropy,corrMIS_entropy,mono_alea
goemotions,qwen,0,GPP-cosine,2,1024,2.9243011739561764,0.5316964956367054,0.6777520068045608,1.3454470557988032,0.22958333333333333,0.22958333333333333,2.6096129417419434,0.013605499640107155,0.12126570307929767,-0.18579015269720353,0.12126570307929765,-0.18579015269720356,0.09588735649610135,-0.1653256974812475,0.11645865987561238,-0.18231510206610885,0.08794341207875349,-0.13721107170776717,0.09188023237581723,-0.16563865764509064,0.7999999999999999
goemotions,qwen,0,GPP-rbf,2,1024,3.055799356614341,0.6186928769879971,0.782603782005026,1.8912911385789206,0.21666666666666667,0.21666666666666667,2.4209299087524414,0.7481325268745422,0.08121888693381656,-0.12324793130876402,0.08121888693381656,-0.12324793130876402,0.0620038231732694,-0.10617420938269445,0.0797008652390058,-0.10527403583235335,0.05798886620046843,-0.07547253951168154,0.07318701563895494,-0.14376510191939068,1.0
goemotions,qwen,0,GPP-laplace,2,1024,3.093510711832695,0.6363984484208903,0.803044180944174,1.983768361298587,0.20958333333333334,0.20958333333333334,2.383479356765747,0.8780602216720581,-0.04486055075528969,-0.08980853099921846,-0.044860550755289684,-0.08980853099921846,-0.049917134398608835,-0.07153474491520109,-0.036527096150631606,-0.06843726740819148,-0.030944566781079416,-0.037003118554748395,-0.09078543922287273,-0.13125561439486044,-0.7999999999999999
goemotions,qwen,0,LPE,2,1024,3.853624885198128,0.5393427285785267,0.6712066259193011,0.5297001992799375,0.22708333333333333,0.22708333333333333,0.9172918796539307,0.6524104475975037,0.13672735924986532,-0.06102910029989112,0.13672735924986532,-0.06102910029989113,0.1167645748037311,-0.04764335181946021,0.12405731244453136,-0.05234801571412722,0.09773601064640561,-0.03222155400671416,0.11938253248263636,-0.05438629075924288,1.0
goemotions,qwen,0,LP-temp,2,1024,3.103957388913472,0.5798846512379,0.7331249409587518,1.4645562506680454,0.20291666666666666,0.20291666666666666,2.7174088427903142,,0.16699528646503992,,0.16699528646503992,,0.15485793767820166,,0.16356180654258545,,0.13108160528473223,,0.1308716655896297,,1.0
goemotions,qwen,0,GPP-cosine,4,1024,2.9040748230975026,0.5288653358361247,0.6799710129690356,1.362028704162462,0.22333333333333333,0.22333333333333333,2.6262826919555664,0.013493334874510765,0.13390073058236018,-0.18980324963649328,0.13390073058236018,-0.18980324963649328,0.09991278826827857,-0.17071391787152673,0.11886016888226207,-0.18837172975069733,0.0752242691606019,-0.14491250483141146,0.1198781829359404,-0.16450878527429968,0.7999999999999999
goemotions,qwen,0,GPP-rbf,4,1024,3.055034255453566,0.6197115780283657,0.784429680401275,1.9014958704875986,0.2225,0.2225,2.437174081802368,0.7420824766159058,0.07895536118711241,-0.13304348654891804,0.07895536118711241,-0.13304348654891807,0.05090270504052495,-0.11480017270766071,0.06281466084007059,-0.1150799048129812,0.025725578294916767,-0.08449469312657983,0.09740482058905985,-0.14643373913893915,1.0
goemotions,qwen,0,GPP-laplace,4,1024,3.0903004045938633,0.6367663828168616,0.8043091629579431,1.990562239916391,0.20916666666666667,0.20916666666666667,2.390347480773926,0.877985954284668,-0.023899947699728634,-0.0988609905404581,-0.023899947699728634,-0.0988609905404581,-0.03308846261514287,-0.07762630575304053,-0.02158963236623367,-0.07505131815761733,-0.02599791160948605,-0.04149921535250364,-0.03987814745498346,-0.1304365404383547,-0.7999999999999999
goemotions,qwen,0,LPE,4,1024,3.874127661255486,0.5426505468974059,0.6761157966731979,0.5504390822937103,0.23,0.23,0.9672857522964478,0.6194989085197449,0.13696503831797602,-0.04343392740339996,0.13696503831797602,-0.04343392740339996,0.10563373193926487,-0.037132293508460326,0.1177303670943781,-0.03429162958944152,0.07146909478705503,-0.028919658769585965,0.1263836941565864,-0.05124600966049565,1.0
goemotions,qwen,0,LP-temp,4,1024,3.1248647896255384,0.5817053857867126,0.7332848955014,1.4629189202699946,0.20708333333333334,0.20708333333333334,2.7114800822345826,,0.17577025630257467,,0.17577025630257467,,0.15836898522014853,,0.17109990683264029,,0.12861066728945902,,0.13981846930676525,,1.0
goemotions,qwen,10,GPP-cosine,2,1024,3.140236116466264,0.6022665543415395,0.7573949554784599,1.68653118615059,0.18833333333333332,0.18833333333333332,2.9034180641174316,0.015295267105102539,0.02306489237841603,0.04344420366666728,0.023064892378416024,0.04344420366666728,0.02329572187208433,0.04043315420983689,0.023120243611349508,0.04984468773421517,0.029005606883138926,0.032073545307877885,-0.054987815993527346,0.016149699934280524,0.39999999999999997
goemotions,qwen,10,GPP-rbf,2,1024,2.8956134744544855,0.5443526078813055,0.7043341545003325,1.507351112511497,0.2608333333333333,0.2608333333333333,2.4158706665039062,0.3669041395187378,0.13612964078915554,-0.17167386922240935,0.13612964078915554,-0.17167386922240935,0.10995644275310497,-0.15189496035017908,0.11978242387236707,-0.1551217072231837,0.08382453996415569,-0.1147914802453962,0.1453499826401274,-0.15687269491222378,1.0
goemotions,qwen,10,GPP-laplace,2,1024,3.0952206827772826,0.6382329318769372,0.805820735997598,1.9937032013517235,0.21125,0.21125,2.3768484592437744,0.8946261405944824,-0.08206699612295273,-0.08046090838051827,-0.08206699612295273,-0.08046090838051825,-0.08170681036879178,-0.05917276489949225,-0.07352396208363339,-0.05631380922650697,-0.060256418999185726,-0.01745241400981444,-0.13063196918277728,-0.13939375695253178,-1.0
goemotions,qwen,10,LPE,2,1024,3.703868926846517,0.5205370176491577,0.6568617431053275,0.5260067896281087,0.2604166666666667,0.2604166666666667,0.9053206443786621,0.6243693828582764,0.1834434577299933,0.018505119335696263,0.1834434577299933,0.018505119335696266,0.1451666459192002,0.02303051781982783,0.1619435955452177,0.028549663717533518,0.10776239366627494,0.028357502840240505,0.16754703665341533,-0.0010850893914817051,1.0
goemotions,qwen,10,LP-temp,2,1024,3.14773191797797,0.5562981418005429,0.7046130273238638,1.1665592898977233,0.22541666666666665,0.22541666666666665,2.3986745965871537,,0.1826031219800612,,0.1826031219800612,,0.15961449980161724,,0.1718686833573842,,0.12754039018830687,,0.1537272306580712,,1.0
goemotions,qwen,10,GPP-cosine,4,1024,3.148952809859743,0.6037761594794643,0.7660264305878174,1.7241944723158795,0.19791666666666666,0.19791666666666666,2.912762403488159,0.013627479784190655,0.02060396502204965,0.04157066831015423,0.020603965022049642,0.04157066831015423,0.020601050488450755,0.0415279861639422,0.016906504987228035,0.04526866415577997,0.024662992743177903,0.03217730482333839,-0.05216620050175955,0.021379482233547374,0.39999999999999997
goemotions,qwen,10,GPP-rbf,4,1024,2.8953905441383454,0.545574558589187,0.7044274757477342,1.5332749596277242,0.26916666666666667,0.26916666666666667,2.4425389766693115,0.3668369948863983,0.11958032494886091,-0.18552262602705388,0.11958032494886092,-0.18552262602705388,0.08688447479367237,-0.1664631236660295,0.09688957545811412,-0.16987623845630562,0.053802379168424584,-0.1304674941911028,0.13397029945549796,-0.1691805194790214,1.0
